,v,p,t
0,59.97049899280636,90.0,3750.0
1,59.97049899280636,90.02,3750.1953415250846
2,59.97049899280636,90.03999999999999,3750.3906717756904
3,59.97049899280636,90.05999999999999,3750.5859907460704
4,59.97049899280636,90.07999999999998,3750.781298430477
5,59.97049899280636,90.09999999999998,3750.9765948231634
6,59.97049899280636,90.11999999999998,3751.1718799183823
7,59.97049899280636,90.13999999999997,3751.3671537103864
8,59.97049899280636,90.15999999999997,3751.562416193429
9,59.97049899280636,90.17999999999996,3751.7576673617623
10,59.97049899280636,90.19999999999996,3751.952907243094
11,59.97049899280636,90.21999999999996,3752.148136085133
12,59.97049899280636,90.23999999999995,3752.3433539066427
13,59.97049899280636,90.25999999999995,3752.5385607019475
14,59.97049899280636,90.27999999999994,3752.7337564653712
15,59.97049899280636,90.29999999999994,3752.928941191238
16,59.97049899280636,90.31999999999994,3753.1241148738723
17,59.97049899280636,90.33999999999993,3753.3192775075972
18,59.97049899280636,90.35999999999993,3753.5144290867374
19,59.97049899280636,90.37999999999992,3753.709569605617
20,59.97049899280636,90.39999999999992,3753.9046990585603
21,59.97049899280636,90.41999999999992,3754.099817439891
22,59.97049899280636,90.43999999999991,3754.2949247439337
23,59.97049899280636,90.45999999999991,3754.4900209650123
24,59.97049899280636,90.4799999999999,3754.685106097451
25,59.97049899280636,90.4999999999999,3754.8801801355735
26,59.97049899280636,90.5199999999999,3755.0752430737043
27,59.97049899280636,90.53999999999989,3755.2702949061677
28,59.97049899280636,90.55999999999989,3755.465335627288
29,59.97049899280636,90.57999999999988,3755.660365231389
30,59.97049899280636,90.59999999999988,3755.855383712795
31,59.97049899280636,90.61999999999988,3756.050391065831
32,59.97049899280636,90.63999999999987,3756.24538728482
33,59.97049899280636,90.65999999999987,3756.440372364087
34,59.97049899280636,90.67999999999986,3756.635346297956
35,59.97049899280636,90.69999999999986,3756.8303090807512
36,59.97049899280636,90.71999999999986,3757.0252607067973
37,59.97049899280636,90.73999999999985,3757.220201170418
38,59.97049899280636,90.75999999999985,3757.415130465938
39,59.97049899280636,90.77999999999984,3757.610048587682
40,59.97049899280636,90.79999999999984,3757.804955529973
41,59.97049899280636,90.81999999999984,3757.9998512871366
42,59.97049899280636,90.83999999999983,3758.1947358534967
43,59.97049899280636,90.85999999999983,3758.389609223378
44,59.97049899280636,90.87999999999982,3758.5844713911047
45,59.97049899280636,90.89999999999982,3758.779322351001
46,59.97049899280636,90.91999999999982,3758.974162097392
47,59.97049899280636,90.93999999999981,3759.168990624601
48,59.97049899280636,90.95999999999981,3759.3638079269535
49,59.97049899280636,90.9799999999998,3759.5586139987736
50,59.97049899280636,90.9999999999998,3759.753408834386
51,59.97049899280636,91.0199999999998,3759.948192428115
52,59.97049899280636,91.0399999999998,3760.142964769416
53,59.97049899280636,91.05999999999979,3760.337725840758
54,59.97049899280636,91.07999999999979,3760.5324756356763
55,59.97049899280636,91.09999999999978,3760.727214148481
56,59.97049899280636,91.11999999999978,3760.9219413734822
57,59.852252220022265,91.13999999999977,3761.116657304991
58,59.852252220022265,91.15999999999977,3761.3113619373166
59,59.852252220022265,91.17999999999977,3761.50605526477
60,59.852252220022265,91.19999999999976,3761.7007372816615
61,59.852252220022265,91.21999999999976,3761.8954080334124
62,59.852252220022265,91.23999999999975,3762.0900677498807
63,59.852252220022265,91.25999999999975,3762.2847164459604
64,59.852252220022265,91.27999999999975,3762.4793541160584
65,59.852252220022265,91.29999999999974,3762.6739807545828
66,59.852252220022265,91.31999999999974,3762.8685963559415
67,59.852252220022265,91.33999999999973,3763.0632009145415
68,59.852252220022265,91.35999999999973,3763.257794424791
69,59.852252220022265,91.37999999999973,3763.4523768810973
70,59.852252220022265,91.39999999999972,3763.6469482778684
71,59.852252220022265,91.41999999999972,3763.841508609512
72,59.852252220022265,91.43999999999971,3764.0360578704353
73,59.852252220022265,91.45999999999971,3764.2305960550466
74,59.852252220022265,91.4799999999997,3764.425123157753
75,59.852252220022265,91.4999999999997,3764.619639172963
76,59.852252220022265,91.5199999999997,3764.8141440950844
77,59.852252220022265,91.5399999999997,3765.0086379185245
78,59.852252220022265,91.55999999999969,3765.203120637691
79,59.852252220022265,91.57999999999969,3765.397592246992
80,59.852252220022265,91.59999999999968,3765.5920527408357
81,59.852252220022265,91.61999999999968,3765.786502113629
82,59.852252220022265,91.63999999999967,3765.9809403597806
83,59.852252220022265,91.65999999999967,3766.175367473698
84,59.852252220022265,91.67999999999967,3766.369783449789
85,59.852252220022265,91.69999999999966,3766.5641882824616
86,59.852252220022265,91.71999999999966,3766.758581966124
87,59.852252220022265,91.73999999999965,3766.9529644951836
88,59.852252220022265,91.75999999999965,3767.1473358640487
89,59.852252220022265,91.77999999999965,3767.3416960671275
90,59.852252220022265,91.79999999999964,3767.536045098828
91,59.852252220022265,91.81999999999964,3767.7303829535576
92,59.852252220022265,91.83999999999963,3767.924709625725
93,59.852252220022265,91.85999999999963,3768.119025109738
94,59.852252220022265,91.87999999999963,3768.313329400004
95,59.852252220022265,91.89999999999962,3768.507622490932
96,59.852252220022265,91.91999999999962,3768.70190437693
97,59.852252220022265,91.93999999999961,3768.8961750524063
98,59.852252220022265,91.95999999999961,3769.0904345117688
99,59.852252220022265,91.9799999999996,3769.2846827494254
100,59.852252220022265,91.9999999999996,3769.4789197597847
101,59.852252220022265,92.0199999999996,3769.6731455372546
102,59.852252220022265,92.0399999999996,3769.8673600762436
103,59.852252220022265,92.05999999999959,3770.061563370269
104,59.852252220022265,92.07999999999959,3770.2557554017485
