,p,v
0,471.57022939894915,5.927388451056917
1,464.2268999102909,5.9564442767973915
2,452.47500961168777,5.995185377784692
3,447.57945661924896,6.014555928278341
4,434.8487761117519,6.058139666889053
5,425.5462642573369,6.092038130252942
6,415.26496219402793,6.130779231240243
7,404.0032679738563,6.169520332227542
8,394.21618936560736,6.200841391765415
9,374.62995001922343,6.285743635189443
10,357.4955145456876,6.353540561917218
11,338.9019427789482,6.433912337746449
12,326.66122004357305,6.498819690619593
13,315.8929257977702,6.547246066853718
14,288.4867999487378,6.682839920309267
15,251.79257977700902,6.895915975739419
16,215.59496347558655,7.128362581663219
17,177.14942229254933,7.396596679842023
18,161.3209662950151,7.544829417276695
19,137.37184416250193,7.757905472706847
20,115.88011021402063,7.9903520786306474
21,100.46505741063817,8.146477114737525
22,90.76721392386742,8.288346386204239
23,78.00212992883691,8.460616215842398
24,69.99070870178184,8.561783318193324
25,63.71013003051434,8.668353363347231
26,55.3649237472772,8.80391519936395
27,48.5406254004875,8.92013850232585
28,42.69671921056056,9.03636180528775
29,35.67253482714386,9.185162852261698
30,32.47949506600088,9.268808411211552
31,27.61277713699923,9.375346438926625
32,27.122581058567853,9.375346438926625
33,23.723247468922864,9.472199191394877
34,17.855722475886807,9.590503627880887
35,14.970203767782266,9.685275246825025
36,11.248584725307635,9.772906976909521
37,7.0209328262183135,9.913087328477825
38,2.618409109444883,10.041445240757234
39,-0.06567986671711877,10.169539009166277
40,-3.4586056644872087,10.285762312128178
41,-6.482747152768298,10.436652496985944
42,-9.254453415352144,10.547264743792454
43,-11.670190952196892,10.653802771507529
44,-14.574898613903654,10.781192156262255
45,-16.484044598230412,10.920147840795218
