v,p
6.346666666666666, 393.83570910973094
6.449777777777777, 366.8433043478262
6.53495652173913, 348.36075569358184
6.622608695652174, 328.8268426501036
6.705429951690821, 310.91810559006217
6.79466369379413, 293.1782452619844
6.8881159420289855, 276.06394202898554
7.003192270531402, 256.3590745341615
7.10257004830918, 240.33234834368525
7.214376811594203, 222.30254564276305
7.323980676328503, 207.7940155279503
7.467555555555556, 187.84061387163564
7.649893719806764, 163.71832298136653
7.822995169082126, 143.64628571428563
7.972289855072464, 128.19575569358176
8.15416425120773, 111.36080098343689
8.319690821256039, 95.83146245059282
8.475555555555555, 84.72926971579147
8.645913043478261, 72.08583474496521
8.798125603864733, 62.151788819875776
8.967304347826087, 51.417850555241785
9.118338164251206, 42.42005458309808
9.288695652173914, 33.84259363824577
9.449391304347827, 26.23314699792951
9.614917874396134, 18.798913984566127
9.77078260869565, 12.486980990024392
9.931478260869564, 6.276625258799072
10.092173913043478, 0.6553604366646937
10.252869565217392, -4.744995294560624
10.413565217391305, -9.408987389422293
10.574260869565217, -13.999343120647495
10.73495652173913, -18.14788067005469
10.895652173913042, -22.07550912855271
11.056347826086956, -26.44495576886891
11.21704347826087, -29.047129681912338
11.377739130434783, -32.23839450404677
11.538434782608697, -35.135113871635724
11.699130434782608, -37.455599472990855
11.85982608695652, -39.73868247694344
