,p,v
0,0.0,11.817491795736977
1,21.792,10.429927154026018
2,29.427,10.00792644274723
3,34.965,9.863576246945593
4,34.986,9.864622447226347
5,35.493,9.852082672929026
6,35.893,9.836452716282391
7,35.803,9.832293099952427
8,37.189,9.760065109922342
9,36.934,9.732488534161785
10,39.65,9.739623042459945
11,40.056,9.743704602666318
12,40.928,9.733507109623234
13,40.818,9.723330939095662
14,41.409,9.624719076109905
15,41.89,9.695961262765847
16,40.847,9.5998823732917
17,42.514,9.681830151202375
18,42.721,9.689900024218588
19,42.873,9.63468977856107
20,46.405,9.610794712457373
21,45.786,9.547650182984293
22,46.133,9.54667013266783
23,46.406,9.579118388345865
24,46.061,9.530040007423917
25,46.051,9.523209137052017
26,46.859,9.579118388345865
27,47.542,9.47663138704402
28,47.43,9.658703960167204
29,48.685,9.511521827822664
30,52.801,9.362156274657742
31,52.734,9.35462285580869
32,60.944,9.258701884763564
33,60.976,9.241222221030405
34,67.609,9.169245827905945
35,67.537,9.162922210093596
36,68.823,9.140408887710073
37,69.849,9.142205881495135
38,69.762,9.114431637833203
39,70.782,9.103725570913275
40,71.605,9.062034534975155
41,76.898,8.959027110341008
42,76.804,8.947821861886666
43,77.665,8.979787625031381
44,77.584,8.969395354658117
45,82.511,8.860022904872821
46,83.927,8.837291945310719
47,85.163,8.877783546434708
48,87.935,8.77807082892402
49,89.145,8.724546006796436
50,90.696,8.76400871018187
51,93.628,8.733558121180394
52,92.276,8.671669970391608
53,94.26,8.711470628742038
54,94.743,8.509026572044831
55,100.717,8.677333498082666
56,100.332,8.624226672148554
57,100.201,8.609855622333829
58,100.148,8.581256729327368
59,101.04,8.606668557509717
60,108.602,8.572556035805144
61,110.093,8.52931588705521
62,111.911,8.538712856449688
63,121.303,8.558356531926934
64,118.81,8.469507370225845
65,118.673,8.444897887265052
66,123.937,8.363638528098022
67,126.089,8.412053222906115
68,124.723,8.3344081398378
69,131.171,8.308349154229944
70,133.747,8.3016745900607
71,134.582,8.30760700602501
72,132.729,8.239891949362098
73,134.346,8.28614223382484
74,134.549,8.30538135671102
75,136.876,8.280240423116988
76,135.705,8.209344199174684
77,136.6,8.239891949362098
78,136.165,8.18190027557403
79,143.356,8.284665992557455
80,142.906,8.249393332663653
81,144.224,8.205722642707782
82,144.243,8.206446698354364
83,149.643,8.142502226619682
84,152.066,8.176864817342183
85,156.763,8.175427253204115
86,159.661,8.146781747761914
87,158.189,8.023782282154258
88,160.695,8.079546558287726
89,164.418,8.121171885474153
90,163.735,8.067631890392956
91,165.915,8.087978122658493
92,163.647,8.041125750687359
93,165.375,8.046691506527946
94,165.035,8.062037138735263
95,164.656,7.979037442729067
96,168.918,7.97766859087751
97,169.011,7.956511286889383
98,175.786,7.946314117605092
99,175.642,7.930052901811904
100,178.149,7.965370026760021
101,177.253,7.928700804130435
102,184.49,7.808871572833754
103,190.348,7.920597890687276
104,192.367,7.827932028654995
105,202.508,7.771677148195036
106,211.085,7.745141608298635
107,218.58,7.716225042101551
108,224.276,7.659665659071818
109,227.685,7.696430025856505
110,243.338,7.537985121774194
111,245.128,7.546548233726875
112,267.793,7.37421982496432
113,324.325,7.14258969606405
114,330.719,7.187855354544401
