,p,v
0,24.80314960629923,10.059483770558831
1,28.346456692913424,9.863385167306346
2,36.61417322834646,9.631952412983551
3,39.763779527559045,9.541394637228136
4,42.51968503937008,9.460900302035109
5,44.48818897637796,9.415608224851288
6,46.850393700787414,9.365277832733222
7,52.362204724409416,9.234439916116013
8,55.118110236220474,9.163995832179266
9,57.480314960629904,9.108640314433057
10,59.842519685039385,9.053284796686844
11,64.56692913385825,8.982774766219551
12,66.9291338582677,8.932444374101477
13,70.0787401574803,8.882087603371184
14,73.22834645669289,8.821680581384614
15,76.77165354330708,8.761260370091929
16,109.05511811023621,8.267716535433067
17,151.57480314960625,7.839156411981162
18,173.22834645669286,7.622350598135028
19,196.06299212598412,7.435655970139407
20,213.7795275590551,7.319484561917193
21,226.7716535433069,7.208496550996448
22,238.58267716535417,7.127698861762877
23,253.543307086614,7.021670029939719
24,266.14173228346453,6.950896213350207
25,278.3464566929132,6.880135586066812
