,p,v
0,18.25401853,10.33374004805
1,23.62261462,10.103076207751878
2,32.06667195,9.82243520159568
3,34.75255365,9.729531687126633
4,39.36416185,9.630166257121015
5,41.66785441,9.565042563724226
6,53.19159606,9.290185022380824
7,62.02840024,9.103334954438075
8,91.2352522,8.578806181231002
9,114.6902632,8.271524377946216
10,116.9960673,8.235404190360985
11,120.8432972,8.199598084080616
12,123.9219257,8.175899818201254
13,132.7640088,8.059434010016094
14,141.2239027,7.963015733469278
15,147.3790482,7.907369216210683
16,159.2997598,7.776938386409555
17,164.2977802,7.71858482346499
18,182.7632169,7.563800369984755
19,194.6934305,7.488713007684805
20,204.3104495,7.410245811377404
21,256.641856,7.07215334619457
