4.247475426120904274e+01 4.252984819438727726e+01 4.253955851689516976e+01 4.277105779781812345e+01 4.330463740623399360e+01 4.310752772680736911e+01 4.363785179131189551e+01 4.404620639812118554e+01 4.388901444183463951e+01 4.398034426927171836e+01 4.441707103772476017e+01 4.438395159224820219e+01 4.439627293654294249e+01 4.499795793814971745e+01 4.513148045375221784e+01 4.520105778606536973e+01 4.513271985661398844e+01 4.556993401449686587e+01 4.587196119531189709e+01 4.593518826939119037e+01 4.625365650089462122e+01
3.827825603503518437e+01 3.825887226098707572e+01 3.822212668579737738e+01 3.831273315006500013e+01 3.868923409207500441e+01 3.844555044976932123e+01 3.880991691276177136e+01 3.894823497352714980e+01 3.914030066363791605e+01 3.917528353563240984e+01 3.950227710344501020e+01 3.970080109927771161e+01 3.929476329955002001e+01 3.956271562735963698e+01 4.007981583819228888e+01 3.997689880447808264e+01 4.019859640814458857e+01 4.030614542896781671e+01 4.045309562408498749e+01 4.041722330690008391e+01 4.062677831566013253e+01
3.395828041459031255e+01 3.394822596814726978e+01 3.423243739598239443e+01 3.441330462612301488e+01 3.441251605809451064e+01 3.468091189398793972e+01 3.466636094565377135e+01 3.492623890542849807e+01 3.500642793515780227e+01 3.500765944501619487e+01 3.509761568182365465e+01 3.508721054002774764e+01 3.516240655461240294e+01 3.527195466242125121e+01 3.572010738176018663e+01 3.561019607709683044e+01 3.592843755873166600e+01 3.575364282170413333e+01 3.557294381749269974e+01 3.585936176581637369e+01 3.595273074268768454e+01
3.025107506107675803e+01 3.039451791685611681e+01 3.043920225725348772e+01 3.058048185352399884e+01 3.066897478091951257e+01 3.069953738783168262e+01 3.065247942895166133e+01 3.074438223098507095e+01 3.074991636686893415e+01 3.122760992722840356e+01 3.095269175147588570e+01 3.114408020725283066e+01 3.108806069659186377e+01 3.101736516787959630e+01 3.111869153196971638e+01 3.148156427486185649e+01 3.150068065104258608e+01 3.161379877125012783e+01 3.163123996022791573e+01 3.173221115649734969e+01 3.156390324448591045e+01
2.605102442439491739e+01 2.637876982640828416e+01 2.650155608728101342e+01 2.645242332472384206e+01 2.646992692795445379e+01 2.648830124994503521e+01 2.683968591294363293e+01 2.678227132116650466e+01 2.679234382924205704e+01 2.700312732364536217e+01 2.709281362262562709e+01 2.713574404957615016e+01 2.701287093285420582e+01 2.723496043564997393e+01 2.720711678705420411e+01 2.740212535370534042e+01 2.726554721470454012e+01 2.763036382488354192e+01 2.759147526195214439e+01 2.757388668884127725e+01 2.754607527461746130e+01
2.154087709840796805e+01 2.162321094945741962e+01 2.199170122878723888e+01 2.194562604287488128e+01 2.197968758796471889e+01 2.214232681490370780e+01 2.212245857991545961e+01 2.204016851341043903e+01 2.224486316536762942e+01 2.227552941233859229e+01 2.252140503669512839e+01 2.272094756111505376e+01 2.258416736144113202e+01 2.268769614087849362e+01 2.291638310576300697e+01 2.283808666594667258e+01 2.280081843191677748e+01 2.307799705797514989e+01 2.307131010420183514e+01 2.318821492861627931e+01 2.317543858698041603e+01
1.674717994539051347e+01 1.691605634798539270e+01 1.718692265540108366e+01 1.698987271475038341e+01 1.705463773029094554e+01 1.721157063747592630e+01 1.722070620480378977e+01 1.733790835845652722e+01 1.738282704598878681e+01 1.772458556274672148e+01 1.773077312765692071e+01 1.778346424591741481e+01 1.783827449578947721e+01 1.801882134026521598e+01 1.803255664383956969e+01 1.831259477000550717e+01 1.819859673236634379e+01 1.853048366943048109e+01 1.843072928921295528e+01 1.882212361797097344e+01 1.851359099263470398e+01
1.210535915543404073e+01 1.242442674383911339e+01 1.231563052293061844e+01 1.243713249690404865e+01 1.247301394211351599e+01 1.268927929227748130e+01 1.280759517640582779e+01 1.292937181478575503e+01 1.298539643714224034e+01 1.313332174794214602e+01 1.317587994061409340e+01 1.341909691528613102e+01 1.351779247246508753e+01 1.346802574954984699e+01 1.378462092179466403e+01 1.384702231299922204e+01 1.387196632401847474e+01 1.391613699687891526e+01 1.396549755998854536e+01 1.404996620326816981e+01 1.423645230246694560e+01
8.377434638420155011e+00 8.329762981449816195e+00 8.475973676366157505e+00 8.539314813339272447e+00 8.632219987993050125e+00 8.857370812986609110e+00 8.799731114703057244e+00 9.050813982002505753e+00 9.076945668163562075e+00 9.195707808794256977e+00 9.332536536800631666e+00 9.331797962377347488e+00 9.418125977296428530e+00 9.625315032032634832e+00 9.854763778191140133e+00 9.786055501221852637e+00 9.972458116358138724e+00 1.018631211004707637e+01 1.031006971021090024e+01 1.035781902361950024e+01 1.038237683077112905e+01
5.277280480280129638e+00 5.445204127858261245e+00 5.501774379109687807e+00 5.499908729609494173e+00 5.706844534130709690e+00 5.684643472714637547e+00 5.901560852529942558e+00 5.859531690538493542e+00 6.019401555150279748e+00 6.185131288723304976e+00 6.190768080593952227e+00 6.342112813003279115e+00 6.435971741441650629e+00 6.528617522784899485e+00 6.663001851456244573e+00 6.751404413569348506e+00 6.840084043556492688e+00 6.920566693434252237e+00 6.911490354209962383e+00 7.038696402228752369e+00 7.081624097949112517e+00
