,v,p,t
0,55.97726895040076,100.0,500.0
1,55.97726895040076,100.02,500.03044421792856
2,55.86522400951968,100.03999999999999,500.06088664390023
3,55.86522400951968,100.05999999999999,500.09132727728485
4,55.86522400951968,100.07999999999998,500.12176611745224
5,55.86522400951968,100.09999999999998,500.1522031637723
6,55.86522400951968,100.11999999999998,500.1826384156149
7,55.86522400951968,100.13999999999997,500.21307187234993
8,55.86522400951968,100.15999999999997,500.2435035333473
9,55.86522400951968,100.17999999999996,500.27393339797686
10,55.86522400951968,100.19999999999996,500.3043614656086
11,55.86522400951968,100.21999999999996,500.3347877356125
12,55.86522400951968,100.23999999999995,500.3652122073585
13,55.86522400951968,100.25999999999995,500.3956348802166
14,55.86522400951968,100.27999999999994,500.4260557535568
15,55.86522400951968,100.29999999999994,500.45647482674906
16,55.86522400951968,100.31999999999994,500.48689209916347
17,55.86522400951968,100.33999999999993,500.51730757017003
18,55.86522400951968,100.35999999999993,500.5477212391388
19,55.86522400951968,100.37999999999992,500.5781331068726
20,55.86522400951968,100.39999999999992,500.60854319664156
21,55.86522400951968,100.41999999999992,500.638951518826
22,55.86522400951968,100.43999999999991,500.6693580728037
23,55.86522400951968,100.45999999999991,500.6997628579525
24,55.86522400951968,100.4799999999999,500.7301658736504
25,55.86522400951968,100.4999999999999,500.7605671192751
26,55.86522400951968,100.5199999999999,500.79096659420463
27,55.86522400951968,100.53999999999989,500.82136429781684
28,55.86522400951968,100.55999999999989,500.85176022948974
29,55.86522400951968,100.57999999999988,500.8821543886012
30,55.86522400951968,100.59999999999988,500.9125467745292
31,55.86522400951968,100.61999999999988,500.9429373866517
32,55.86522400951968,100.63999999999987,500.9733262243467
33,55.86522400951968,100.65999999999987,501.0037132869922
34,55.86522400951968,100.67999999999986,501.03409857396616
35,55.86522400951968,100.69999999999986,501.06448208464667
36,55.86522400951968,100.71999999999986,501.09486381841174
37,55.86522400951968,100.73999999999985,501.12524377463944
38,55.86522400951968,100.75999999999985,501.15562195270786
39,55.86522400951968,100.77999999999984,501.18599835199507
40,55.86522400951968,100.79999999999984,501.2163729718792
41,55.86522400951968,100.81999999999984,501.2467458117383
42,55.86522400951968,100.83999999999983,501.2771168709506
43,55.86522400951968,100.85999999999983,501.3074861488941
44,55.86522400951968,100.87999999999982,501.3378536449471
45,55.86522400951968,100.89999999999982,501.36821935848764
46,55.86522400951968,100.91999999999982,501.39858328889403
47,55.86522400951968,100.93999999999981,501.4289454355444
48,55.86522400951968,100.95999999999981,501.459305797817
49,55.86522400951968,100.9799999999998,501.48966437509006
50,55.86522400951968,100.9999999999998,501.5200211667418
51,55.86522400951968,101.0199999999998,501.5503761721505
52,55.86522400951968,101.0399999999998,501.58072939069444
53,55.86522400951968,101.05999999999979,501.6110808217519
54,55.86522400951968,101.07999999999979,501.6414304647012
55,55.86522400951968,101.09999999999978,501.67177831892064
56,55.86522400951968,101.11999999999978,501.7021243837886
57,55.86522400951968,101.13999999999977,501.7324686586834
58,55.86522400951968,101.15999999999977,501.76281114298337
59,55.86522400951968,101.17999999999977,501.79315183606695
60,55.86522400951968,101.19999999999976,501.8234907373125
61,55.86522400951968,101.21999999999976,501.85382784609845
62,55.86522400951968,101.23999999999975,501.8841631618032
63,55.86522400951968,101.25999999999975,501.91449668380517
64,55.86522400951968,101.27999999999975,501.9448284114829
65,55.86522400951968,101.29999999999974,501.9751583442148
66,55.86522400951968,101.31999999999974,502.0054864813793
67,55.86522400951968,101.33999999999973,502.035812822355
68,55.86522400951968,101.35999999999973,502.06613736652037
69,55.86522400951968,101.37999999999973,502.09646011325395
70,55.86522400951968,101.39999999999972,502.12678106379656
71,55.75355235521646,101.41999999999972,502.1571002431552
72,55.75355235521646,101.43999999999971,502.18741765958293
73,55.75355235521646,101.45999999999971,502.2177333124686
74,55.75355235521646,101.4799999999997,502.24804720120096
75,55.75355235521646,101.4999999999997,502.27835932516876
76,55.75355235521646,101.5199999999997,502.30866968376085
77,55.75355235521646,101.5399999999997,502.33897827636605
78,55.75355235521646,101.55999999999969,502.36928510237317
79,55.75355235521646,101.57999999999969,502.3995901611711
80,55.75355235521646,101.59999999999968,502.42989345214863
81,55.75355235521646,101.61999999999968,502.4601949746947
82,55.75355235521646,101.63999999999967,502.4904947281981
83,55.75355235521646,101.65999999999967,502.5207927120478
84,55.75355235521646,101.67999999999967,502.5510889256327
85,55.75355235521646,101.69999999999966,502.5813833683418
86,55.75355235521646,101.71999999999966,502.611676039564
87,55.75355235521646,101.73999999999965,502.6419669386882
88,55.75355235521646,101.75999999999965,502.67225606510345
89,55.75355235521646,101.77999999999965,502.7025434181987
90,55.75355235521646,101.79999999999964,502.7328289973629
91,55.75355235521646,101.81999999999964,502.7631128019852
92,55.75355235521646,101.83999999999963,502.7933948314545
93,55.75355235521646,101.85999999999963,502.82367508515995
94,55.75355235521646,101.87999999999963,502.8539535624906
95,55.75355235521646,101.89999999999962,502.88423026283544
96,55.75355235521646,101.91999999999962,502.91450518558366
97,55.75355235521646,101.93999999999961,502.9447783301243
98,55.75355235521646,101.95999999999961,502.97504969584645
99,55.75355235521646,101.9799999999996,503.00531928213934
100,55.75355235521646,101.9999999999996,503.03558708839205
101,55.75355235521646,102.0199999999996,503.0658531139938
102,55.75355235521646,102.0399999999996,503.0961173583337
103,55.75355235521646,102.05999999999959,503.126379820801
104,55.75355235521646,102.07999999999959,503.1566405007849
105,55.75355235521646,102.09999999999958,503.18689939767455
106,55.75355235521646,102.11999999999958,503.21715651085924
107,55.75355235521646,102.13999999999957,503.2474118397282
