,v,p,t
0,52.46780270884701,170.0,2750.0
1,52.46780270884701,170.02,2750.0916123898733
2,52.46780270884701,170.04000000000002,2750.18321991716
3,52.46780270884701,170.06000000000003,2750.2748225805967
4,52.46780270884701,170.08000000000004,2750.3664203789203
5,52.46780270884701,170.10000000000005,2750.4580133108675
6,52.46780270884701,170.12000000000006,2750.549601375175
7,52.46780270884701,170.14000000000007,2750.6411845705793
8,52.46780270884701,170.16000000000008,2750.732762895818
9,52.46780270884701,170.1800000000001,2750.824336349627
10,52.46780270884701,170.2000000000001,2750.915904930744
11,52.46780270884701,170.2200000000001,2751.0074686379057
12,52.46780270884701,170.24000000000012,2751.0990274698493
13,52.46780270884701,170.26000000000013,2751.1905814253114
14,52.46780270884701,170.28000000000014,2751.2821305030297
15,52.46780270884701,170.30000000000015,2751.373674701741
16,52.46780270884701,170.32000000000016,2751.4652140201824
17,52.46780270884701,170.34000000000017,2751.5567484570915
18,52.46780270884701,170.36000000000018,2751.6482780112055
19,52.46780270884701,170.3800000000002,2751.7398026812616
20,52.46780270884701,170.4000000000002,2751.831322465997
21,52.46780270884701,170.42000000000021,2751.922837364149
22,52.46780270884701,170.44000000000023,2752.0143473744556
23,52.46780270884701,170.46000000000024,2752.1058524956543
24,52.46780270884701,170.48000000000025,2752.197352726482
25,52.46780270884701,170.50000000000026,2752.288848065677
26,52.46780270884701,170.52000000000027,2752.3803385119763
27,52.46780270884701,170.54000000000028,2752.471824064118
28,52.46780270884701,170.5600000000003,2752.56330472084
29,52.46780270884701,170.5800000000003,2752.6547804808793
30,52.46780270884701,170.6000000000003,2752.7462513429746
31,52.46780270884701,170.62000000000032,2752.837717305863
32,52.46780270884701,170.64000000000033,2752.929178368283
33,52.46780270884701,170.66000000000034,2753.020634530035
34,52.46780270884701,170.68000000000035,2753.112085820816
35,52.46780270884701,170.70000000000036,2753.20353226076
36,52.46780270884701,170.72000000000037,2753.2949738486054
37,52.46780270884701,170.74000000000038,2753.386410583091
38,52.46780270884701,170.7600000000004,2753.4778424629562
39,52.46780270884701,170.7800000000004,2753.5692694869394
40,52.46780270884701,170.8000000000004,2753.66069165378
41,52.46780270884701,170.82000000000042,2753.7521089622164
42,52.46780270884701,170.84000000000043,2753.843521410988
43,52.46780270884701,170.86000000000044,2753.9349289988345
44,52.46780270884701,170.88000000000045,2754.0263317244944
45,52.46780270884701,170.90000000000046,2754.117729586707
46,52.46780270884701,170.92000000000047,2754.2091225842114
47,52.46780270884701,170.94000000000048,2754.3005107157474
48,52.46780270884701,170.9600000000005,2754.3918939800537
49,52.46780270884701,170.9800000000005,2754.48327237587
50,52.46780270884701,171.0000000000005,2754.5746459019356
51,52.46780270884701,171.02000000000052,2754.6660145569904
52,52.46780270884701,171.04000000000053,2754.7573783397734
53,52.46780270884701,171.06000000000054,2754.8487372490245
54,52.46780270884701,171.08000000000055,2754.940091283483
55,52.46780270884701,171.10000000000056,2755.0314404418887
56,52.46780270884701,171.12000000000057,2755.122784722981
57,52.46780270884701,171.14000000000058,2755.2141241255003
58,52.46780270884701,171.1600000000006,2755.305458648186
59,52.46780270884701,171.1800000000006,2755.3967882897773
60,52.46780270884701,171.2000000000006,2755.488113049015
61,52.46780270884701,171.22000000000062,2755.5794329246382
62,52.46780270884701,171.24000000000063,2755.670747915388
63,52.46780270884701,171.26000000000064,2755.762058020003
64,52.46780270884701,171.28000000000065,2755.8533632372246
65,52.46780270884701,171.30000000000067,2755.944663565792
66,52.46780270884701,171.32000000000068,2756.0359590044454
67,52.46780270884701,171.34000000000069,2756.127249551925
68,52.46780270884701,171.3600000000007,2756.2185352069714
69,52.46780270884701,171.3800000000007,2756.3098159683245
70,52.46780270884701,171.40000000000072,2756.401091834725
71,52.46780270884701,171.42000000000073,2756.4923628049123
72,52.46780270884701,171.44000000000074,2756.5836288776277
73,52.46780270884701,171.46000000000075,2756.6748900516113
74,52.46780270884701,171.48000000000076,2756.766146325604
75,52.46780270884701,171.50000000000077,2756.8573976983457
76,52.46780270884701,171.52000000000078,2756.9486441685776
77,52.46780270884701,171.5400000000008,2757.03988573504
78,52.46780270884701,171.5600000000008,2757.1311223964735
79,52.46780270884701,171.5800000000008,2757.2223541516187
80,52.46780270884701,171.60000000000082,2757.313580999217
81,52.46780270884701,171.62000000000083,2757.4048029380083
82,52.46780270884701,171.64000000000084,2757.496019966734
83,52.367211935437126,171.66000000000085,2757.587232084135
84,52.367211935437126,171.68000000000086,2757.6784392906616
85,52.367211935437126,171.70000000000087,2757.769641618872
86,52.367211935437126,171.72000000000088,2757.8608390859536
87,52.367211935437126,171.7400000000009,2757.9520316906714
88,52.367211935437126,171.7600000000009,2758.0432194317905
89,52.367211935437126,171.7800000000009,2758.1344023080756
90,52.367211935437126,171.80000000000092,2758.225580318291
91,52.367211935437126,171.82000000000093,2758.3167534612026
92,52.367211935437126,171.84000000000094,2758.4079217355747
93,52.367211935437126,171.86000000000095,2758.499085140173
94,52.367211935437126,171.88000000000096,2758.5902436737624
95,52.367211935437126,171.90000000000097,2758.6813973351077
96,52.367211935437126,171.92000000000098,2758.7725461229743
97,52.367211935437126,171.940000000001,2758.8636900361275
98,52.367211935437126,171.960000000001,2758.954829073333
99,52.367211935437126,171.980000000001,2759.045963233355
100,52.367211935437126,172.00000000000102,2759.13709251496
101,52.367211935437126,172.02000000000103,2759.2282169169125
102,52.367211935437126,172.04000000000104,2759.3193364379786
103,52.367211935437126,172.06000000000105,2759.4104510769234
104,52.367211935437126,172.08000000000106,2759.5015608325125
